Case,PriceNA,PriceEU,Category,Favorite,Exclude
Tight Budget,0.12,0.12,0,FALSE,FALSE
Play the Cards Right,0.29,0.31,0,FALSE,FALSE
Budget Comeback,0.48,0.62,0,FALSE,FALSE
Cheap Games,0.52,0.52,0,FALSE,FALSE
Hype Box,1.11,1.24,1,FALSE,FALSE
Safe Way,1.39,1.39,1,FALSE,FALSE
Steam Games Collector,1.55,1.55,1,FALSE,FALSE
1% Console,1.88,1.99,1,FALSE,FALSE
Gaming Only,1.95,2.07,1,FALSE,FALSE
Cheap 10%,1.97,2.59,1,FALSE,FALSE
Dream Car,2.12,2.74,1,FALSE,FALSE
Only One,2.32,2.5,1,FALSE,FALSE
Supremely Lucky,2.37,2.73,1,FALSE,FALSE
Dunk 1,2.45,2.98,1,FALSE,FALSE
Mini Games,2.48,2.5,1,FALSE,FALSE
Budget Battle,2.65,2.65,1,FALSE,FALSE
Feeling Lucky,3.26,4.3,1,FALSE,FALSE
Setup Booster,3.28,3.39,1,FALSE,FALSE
Tech Starter Pack,3.56,3.68,1,FALSE,FALSE
10% All in One,2.66,4.05,1,FALSE,FALSE
10% Gaming - Tech,3.79,4.54,1,FALSE,FALSE
Half Way,3.87,3.99,1,FALSE,FALSE
1% Designer,4.34,3.85,1,FALSE,FALSE
Jordan 1,4.36,5.6,1,FALSE,FALSE
Logistical Nightmare,4.67,4.94,1,FALSE,FALSE
Hype Challenge,5.11,6.38,2,FALSE,FALSE
Hot on a Budget,5.18,5.87,2,FALSE,FALSE
Trick or Treat,5.43,5.58,2,FALSE,FALSE
10% Designer Boost,5.51,6.73,2,FALSE,FALSE
50-50,5.68,10.11,2,FALSE,FALSE
Switch Up,5.71,6.46,2,FALSE,FALSE
5% Ray Tracing On,6.01,7.44,2,FALSE,FALSE
Race to the Top,6.23,5.89,2,FALSE,FALSE
Brick Fit,6.57,10.13,2,FALSE,FALSE
Click,6.95,7.55,2,FALSE,FALSE
Wardrobe Classics,7.55,7.66,2,FALSE,FALSE
Knockout,7.68,9.96,2,FALSE,FALSE
Top-Up or Play,8.49,8.57,2,FALSE,FALSE
Budget Hype,8.75,13.1,2,FALSE,FALSE
Fancy Gaming,8.8,10.15,2,FALSE,FALSE
Console 50-50,8.82,8.93,2,FALSE,FALSE
Christmas Stocking,8.98,9.35,2,FALSE,FALSE
10% PS5,9.12,10.88,2,FALSE,FALSE
Collectors Dream,9.35,11.39,2,FALSE,FALSE
Take a Flight,9.68,10.15,2,FALSE,FALSE
Lucky Off,9.86,11.9,2,FALSE,FALSE
Forgotten Vault,10.47,12.48,3,FALSE,FALSE
Kanye Farewell,10.55,13.25,3,FALSE,FALSE
Golden Egg,10.62,12.43,3,FALSE,FALSE
Rare Candy,11.58,14.79,3,FALSE,FALSE
Game Mania,12.03,13.75,3,FALSE,FALSE
Supreme or Not,12.85,16.27,3,FALSE,FALSE
Garage Sale,12.94,13.68,3,FALSE,FALSE
Got Em,15.32,17.1,3,FALSE,FALSE
Evil Pumpkin,16.91,20.13,3,FALSE,FALSE
Sticker or Cent,17.27,22.9,3,FALSE,FALSE
Game of Battle,18.01,20.29,3,FALSE,FALSE
Play has No Limits,19.13,22.16,3,FALSE,FALSE
SHEEEEEEESH,19.8,21.06,3,FALSE,FALSE
Can You Hear Me,20.19,22.15,3,FALSE,FALSE
Snowball,20.54,21.53,3,FALSE,FALSE
Gamers Den,20.94,19.93,3,FALSE,FALSE
Battle it Out,22.01,22.01,3,FALSE,FALSE
Marvel,22.07,28.58,3,FALSE,FALSE
Corsair,22.38,27.82,3,FALSE,FALSE
Hypebeast,24.31,35.43,3,FALSE,FALSE
Dubai Memories,25.44,21.24,4,FALSE,FALSE
Harry Potter,25.88,34.58,4,FALSE,FALSE
Hit or Miss,25.88,28.08,4,FALSE,FALSE
Hunter,26.16,32.42,4,FALSE,FALSE
Become an Influencer,27.23,33.48,4,FALSE,FALSE
Crypto Mining,28.2,37.76,4,FALSE,FALSE
Battle for Jordans,29.29,36.5,4,FALSE,FALSE
Sony,30.98,34.17,4,FALSE,FALSE
BOGO Madness,31.71,40.82,4,FALSE,FALSE
Control,31.79,37.08,4,FALSE,FALSE
RGB Setup,32.22,38.85,4,FALSE,FALSE
Comfort Zone,33.47,42.58,4,FALSE,FALSE
Fun Treats,34.19,31.91,4,FALSE,FALSE
Streamer Essentials,35.39,39.08,4,FALSE,FALSE
10% Apple,35.63,56.6,4,FALSE,FALSE
Nintendo,36.65,41.05,4,FALSE,FALSE
Dark Knight,37.41,40.05,4,FALSE,FALSE
Kaws,37.87,50.28,4,FALSE,FALSE
Christmas Spirit,39.16,56.75,4,FALSE,FALSE
Click and Listen,40.68,45.96,4,FALSE,FALSE
Nike,41.76,50.68,4,FALSE,FALSE
Travis Scott,42.3,53.33,4,FALSE,FALSE
Nordic Supreme,42.42,60.06,4,FALSE,FALSE
Logitech,42.49,47.16,4,FALSE,FALSE
Gadget Geek,42.54,47.54,4,FALSE,FALSE
Chic Streetwear,43.66,42.7,4,FALSE,FALSE
Car Collectibles,43.73,63.75,4,FALSE,FALSE
Voucher Games,44.01,44.01,4,FALSE,FALSE
PS5 vs Xbox,44.04,50.51,4,FALSE,FALSE
Cold Hearts,45.19,52.4,4,FALSE,FALSE
Yeezy Day,45.35,53.69,4,FALSE,FALSE
Razer Chaser,45.45,51.35,4,FALSE,FALSE
Keep it Cool,47.05,52.43,4,FALSE,FALSE
Quest or Rest,47.16,67.64,4,FALSE,FALSE
Stonks,47.21,58.4,4,FALSE,FALSE
Orange Peel,48.21,57.08,4,FALSE,FALSE
Matchpoint,48.41,51.49,4,FALSE,FALSE
10 Designer,48.66,40.03,4,FALSE,FALSE
Star Wars,49.7,53.92,4,FALSE,FALSE
SNKRs Day,50.19,57.09,5,FALSE,FALSE
Sneaker Investment,51.07,56.97,5,FALSE,FALSE
Winter Warmers,51.13,48.37,5,FALSE,FALSE
Lego Builder,51.86,61.43,5,FALSE,FALSE
Xbox,52.07,60.56,5,FALSE,FALSE
Steam Deck,52.12,56.65,5,FALSE,FALSE
Hype 50-50,53.09,64.89,5,FALSE,FALSE
Mining Beginner,53.31,63.65,5,FALSE,FALSE
Suprememe,53.39,69.09,5,FALSE,FALSE
Funko,54.98,78.3,5,FALSE,FALSE
Corsair Treasure Chest,54.98,61.42,5,FALSE,FALSE
Air Force 1,55.3,68.15,5,FALSE,FALSE
Hyped Mix,55.95,66.54,5,FALSE,FALSE
Pokemon Galore,57.16,78.37,5,FALSE,FALSE
Budget WGTV,57.78,67.37,5,FALSE,FALSE
Supreme FW21,58.97,127.91,5,FALSE,FALSE
Santas Bag,59.15,74.24,5,FALSE,FALSE
Land of Dreams,59.48,61.93,5,FALSE,FALSE
Fruity,61.19,69.64,5,FALSE,FALSE
Audio,61.95,70.64,5,FALSE,FALSE
The Collector,62.71,73.37,5,FALSE,FALSE
Games Room,63.47,76.76,5,FALSE,FALSE
Pack Your Bag,63.97,84.66,5,FALSE,FALSE
Only Apple,64.54,90.02,5,FALSE,FALSE
Supreme SS21,66.95,88.35,5,FALSE,FALSE
Collectibles 50-50,69.08,85.02,5,FALSE,FALSE
Check,69.95,94.51,5,FALSE,FALSE
PC Master Race,71.13,92.05,5,FALSE,FALSE
Retro 21,71.85,89.58,5,FALSE,FALSE
Supreme Vs Offwhite,72.69,88.8,5,FALSE,FALSE
Nike Collabs,77.05,98.61,5,FALSE,FALSE
Half a Jordan,78.07,92.29,5,FALSE,FALSE
Mocha,80.59,110.96,5,FALSE,FALSE
Sunny Days,82.43,110.23,5,FALSE,FALSE
NBA,82.56,101.19,5,FALSE,FALSE
Enchanted Walk,82.61,101.54,5,FALSE,FALSE
Best of 2022,87.43,109.48,5,FALSE,FALSE
Angels,87.46,75.33,5,FALSE,FALSE
Triple V,88.55,77.96,5,FALSE,FALSE
Outdoor Activities ,91.74,128.3,5,FALSE,FALSE
UGG Guard,97.71,101.13,5,FALSE,FALSE
Toy Room,99.59,143.82,5,FALSE,FALSE
Walking Blizzard,99.9,120.98,5,FALSE,FALSE
50-50 on Green,101.59,132.85,6,FALSE,FALSE
Skatepark,103.21,138.99,6,FALSE,FALSE
The 1%,103.67,93.69,6,FALSE,FALSE
50% 550,104.25,124.76,6,FALSE,FALSE
Frosty Flakes,104.49,112.26,6,FALSE,FALSE
Hype Decor,107.79,151.88,6,FALSE,FALSE
Biba,107.85,130.25,6,FALSE,FALSE
Jordan I-IV-VI-XI,109.45,144.29,6,FALSE,FALSE
Bae Shoes,109.47,133.74,6,FALSE,FALSE
Showpiece,110.95,139.78,6,FALSE,FALSE
Off-White vs LV,111.16,178.02,6,FALSE,FALSE
Trip to Astroworld,112.77,151.4,6,FALSE,FALSE
Bape,115.19,160.02,6,FALSE,FALSE
Juicy,115.21,139.75,6,FALSE,FALSE
Lightning,118.4,145.5,6,FALSE,FALSE
Street Art,118.73,149.73,6,FALSE,FALSE
True Jordan,119.01,141.72,6,FALSE,FALSE
Hot Girl Summer,122.23,130.25,6,FALSE,FALSE
Lars,125.08,170.84,6,FALSE,FALSE
Jordan 21-22,128.43,176.37,6,FALSE,FALSE
No Voucher,132.26,184.6,6,FALSE,FALSE
350 to 700,134.06,162.76,6,FALSE,FALSE
Fire and Ice,134.85,164.13,6,FALSE,FALSE
Half a Dunk,138.48,169.28,6,FALSE,FALSE
Summer Tees,141.19,181.94,6,FALSE,FALSE
Gamification,142.1,178.22,6,FALSE,FALSE
Jordan 20-21,143.72,182.65,6,FALSE,FALSE
Island,145.62,158.48,6,FALSE,FALSE
Burberry X Supreme,147.34,177.79,6,FALSE,FALSE
Off Jordan,147.41,182.3,6,FALSE,FALSE
Hustler,149.01,185.91,6,FALSE,FALSE
Dunk or Yeezy,149.16,182.6,6,FALSE,FALSE
All White,152.26,189.63,6,FALSE,FALSE
Wavy,152.84,169.95,6,FALSE,FALSE
Walk in the Park,153.52,176.44,6,FALSE,FALSE
Gucci,162.11,126.59,6,FALSE,FALSE
The Investor,162.18,202.97,6,FALSE,FALSE
80% OG Streetwear,169.91,198.61,6,FALSE,FALSE
Stone Island,173.4,133.79,6,FALSE,FALSE
Kazlic,175.47,214.57,6,FALSE,FALSE
Jordan IV,177.78,232.14,6,FALSE,FALSE
Silver Hunter,184.13,213.11,6,FALSE,FALSE
70% Sneaker,188.01,233.78,6,FALSE,FALSE
Air Max Day,188.6,244.24,6,FALSE,FALSE
Fresh Drip,190.33,235.47,6,FALSE,FALSE
Leaves Fall,208.54,249.73,7,FALSE,FALSE
Yeezy is King,211.14,262.19,7,FALSE,FALSE
Monochrome Style,225.8,250.78,7,FALSE,FALSE
Samsung vs Apple,227.87,260.82,7,FALSE,FALSE
Off-White x Nike,237.95,289.77,7,FALSE,FALSE
Best of 2021,241.41,299.96,7,FALSE,FALSE
Witch Cauldron,241.61,249.58,7,FALSE,FALSE
All Black,246.66,296.13,7,FALSE,FALSE
25% Omega,266.18,268.24,7,FALSE,FALSE
Grey Vibes,266.34,306.15,7,FALSE,FALSE
Burberry,267.23,259.63,7,FALSE,FALSE
Air Jordan,269.68,350.52,7,FALSE,FALSE
Hype Starter Pack,280.54,342.94,7,FALSE,FALSE
Legacy Streetwear,281.42,342.94,7,FALSE,FALSE
10% Art,282,296.63,7,FALSE,FALSE
Deadly Style,292.36,220.83,7,FALSE,FALSE
Collectibles,293.12,360.56,7,FALSE,FALSE
Sneakerhead Grail,294.44,370.42,7,FALSE,FALSE
Jordan or Yeezy,296.28,399.79,7,FALSE,FALSE
Taste the Rainbow,309.38,356.16,7,FALSE,FALSE
Pattern Chaser,314.2,310.49,7,FALSE,FALSE
Instagram Starter Pack,320.83,370.23,7,FALSE,FALSE
Build a Collection,321.94,415.28,7,FALSE,FALSE
Saint Lucia Retreat,333.08,345.29,7,FALSE,FALSE
Mans Not Hot,335.58,418.33,7,FALSE,FALSE
Big Apple,351.95,456.5,7,FALSE,FALSE
50-50 All Black,370.33,327.3,7,FALSE,FALSE
Prodigy,383.91,456.62,7,FALSE,FALSE
BearBrick,384.95,519.65,7,FALSE,FALSE
Gucci-LV,395.43,396.84,7,FALSE,FALSE
North Carolina,401.14,471.65,7,FALSE,FALSE
Rich Gvng,408.12,370.03,7,FALSE,FALSE
In the Middle,416.87,514.95,7,FALSE,FALSE
BMW,440.76,442,7,FALSE,FALSE
White Gold,448.36,493.29,7,FALSE,FALSE
Show Off,448.85,560.94,7,FALSE,FALSE
Outfit-Checklist,473.85,552.8,7,FALSE,FALSE
Low vs High,478.5,599.28,7,FALSE,FALSE
WatchGamesTV,491.33,561.51,7,FALSE,FALSE
San Chicago,509.04,654.09,8,FALSE,FALSE
Dubai,519.23,489.5,8,FALSE,FALSE
Dice,543.76,658.53,8,FALSE,FALSE
Abloh Mentality,549.62,667.11,8,FALSE,FALSE
Tiffany,564.33,660.89,8,FALSE,FALSE
Supreme-LV,591.52,803.14,8,FALSE,FALSE
French Designer,593.06,698.27,8,FALSE,FALSE
Audi,618.11,623.57,8,FALSE,FALSE
Rich Influencer,648.1,749.85,8,FALSE,FALSE
Designer Collabs,669.47,855.16,8,FALSE,FALSE
Mac or Not,728.2,994.65,8,FALSE,FALSE
Lamborghini,771.61,872.06,8,FALSE,FALSE
Mothers Day,787.01,770.74,8,FALSE,FALSE
Rose Gold,817.11,814.09,8,FALSE,FALSE
Final Investment,858.04,951.11,8,FALSE,FALSE
Dogecoin Investor,977.61,928.12,8,FALSE,FALSE
Blackout,989.01,1185.89,8,FALSE,FALSE
Iced Out,1015.13,1040.05,9,FALSE,FALSE
Dior,1041.43,1236.61,9,FALSE,FALSE
High Hopes,1121.92,1386.14,9,FALSE,FALSE
Red Redemption,1196.87,1431.07,9,FALSE,FALSE
"""50%""",1348.58,1625.87,9,FALSE,FALSE
Midas touch,1366.69,1720.06,9,FALSE,FALSE
Gentleman,1409.4,1581.88,9,FALSE,FALSE
Golden Boy,1435.99,1459.39,9,FALSE,FALSE
Millionaire,1928.25,2291.52,9,FALSE,FALSE
Dubai Style,2050.4,1576.04,9,FALSE,FALSE
Tudor,2157.54,2065.33,9,FALSE,FALSE
Market Maker,2166.04,2204.51,9,FALSE,FALSE
Silver vs Gold,2327.9,2326.27,9,FALSE,FALSE
Shelby,2559.29,3167.65,9,FALSE,FALSE
Accessories Enthusiast,2571.43,2546.63,9,FALSE,FALSE
Iconic,2594.66,3351.8,9,FALSE,FALSE
Wrist on Thunder,2725.93,2775.21,9,FALSE,FALSE
Art Investor,2976.45,2494.41,9,FALSE,FALSE
Dubai Fantasies,3688.4,3109.34,10,FALSE,FALSE
Sandwich,3698.45,3998.06,10,FALSE,FALSE
Rich B,4892.57,4486.84,10,FALSE,FALSE
Whiteout,5041.93,4973.33,10,FALSE,FALSE
Omega,5042.74,4799.74,10,FALSE,FALSE
Nautical,5367.04,5477.48,10,FALSE,FALSE
Gold,5791.34,5617.8,10,FALSE,FALSE
Celebrity,5889.12,6380.49,10,FALSE,FALSE
Watch This,6099.44,5603.49,10,FALSE,FALSE
Art Mogul,8481.55,8855.94,10,FALSE,FALSE
Foss,9020.54,9415.09,10,FALSE,FALSE
Rolex,9369.65,9111.96,10,FALSE,FALSE
Billionaire,15327.19,12520.07,11,FALSE,FALSE
Timepieces,17316.86,17466.83,11,FALSE,FALSE
Stainless Masterclass,17536.32,16384.91,11,FALSE,FALSE
Finance Tycoon,17535.1,16058.05,11,FALSE,FALSE
Oil Money,18192.87,17040.7,11,FALSE,FALSE
Mercedes-AMG,21645.92,19831.29,11,FALSE,FALSE
Precious Masterclass,32369.98,29598.78,11,FALSE,FALSE
Exclusive,60219.07,55966.81,11,FALSE,FALSE